year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
2016,35-44,70.023849,63.495274,169.1931,18.08073,4.0415754,8.1895075,.63814348,63.814346,12.762869,58.709198,6.3814344,23.398594,39.35218,5.317862,23.398594,153.15443,212.71449,20.633305,127.62869,34.034317,42.542896,5.8496485,23.185879,99.656738,148.90015,140.92334,21.824507,5.317862,2.658931,4.2542896,148.90015,26.589312,14.890014,21.377806,3.9352181
2016,45-54,74.333015,131.92552,255.07658,37.437748,4.3191676,10.635724,.85085797,416.92038,26.589312,106.35725,10.210296,74.450073,87.212936,6.487792,54.242195,194.63376,212.71449,20.314234,170.17159,106.35725,106.35725,12.762869,41.479324,95.721519,132.94655,90.403656,19.144304,5.317862,2.9780028,7.4450068,132.94655,43.606468,14.890014,21.271448,4.2542896
2016,55-64,64.637405,199.20712,305.68668,63.282558,5.7113838,21.271448,2.1271448,410.53897,47.86076,287.16455,15.953587,175.48946,127.62869,10.635724,85.085793,223.3502,212.71449,20.952377,212.71449,98.912239,106.35725,31.907173,70.195778,73.386497,102.10295,116.99297,14.783657,3.4247031,2.9780028,8.5085793,106.35725,22.335022,12.762869,19.144304,4.2542896
2016,65-74,53.541317,238.24022,310.39297,63.665447,8.5085793,26.589312,1.0635724,106.35725,58.496483,319.07172,10.210296,148.90015,134.22284,9.5721521,100.50759,213.03355,191.44304,19.144304,138.26442,53.178623,61.687202,21.271448,71.259354,44.244614,84.022224,102.10295,12.762869,1.276287,2.658931,5.317862,85.085793,42.542896,12.762869,18.08073,4.9987903
2016,75 or older,42.014313,281.58081,323.46429,67.217781,10.635724,42.542896,5.1051478,65.94149,74.450073,164.85373,7.9767933,106.35725,127.62869,15.953587,106.56996,212.71449,186.12518,14.145514,186.12518,127.62869,251.4498,21.271448,93.913445,22.228664,57.432911,106.35725,10.316652,15.953587,2.2335021,9.5721521,60.623631,29.780027,10.635724,4.1479325,4.5733614
2019,Less than 35,48.869659,14,40.700001,8.5,3.24,5,.75,3,2.5999999,11,2.8,12,13,1.5,7.3600001,27.299999,185,13,135,22,40,5,12.99,44.98,140,93,20,.89999998,1.9,2.5,140,12,12,22,2.9000001
2019,35-44,73.304489,91.105003,243.47,22.65,4.71,5,.60000002,5,20,50,6,75,60,3,31.6,207,250,19.9,170,60,51,8.6000004,36,128.02,176,110,22.5,2,2.7,7,173,22,15,21,4.5999999
2019,45-54,78.395081,168.8,286.29999,36.799999,6.4000001,11,.5,53,28,150,11,100,100,5,51.299999,228.2,250,23.1,173,81,81,25,64.120003,108,142,130,20.809999,2.5999999,3.2,5,145,30,14,25,6
2019,55-64,63.12331,213.14999,299.10001,46.900002,5.6220002,35,1.5,469,53,273,14,140,134,12,72.699997,231.3,230,18.5,180,90,150,40,68,61.5,110,163,14,1.7,3,6,122,29,13,24,3.5
2019,65-74,49.887775,266.07001,344.70001,54.299999,8,41,1,114,55,190,10,128,164,6.0999999,109.1,255.3,240,16.299999,140,80,155,15,92,40,89,119,14,3.5,2.8499999,6,97,22,14,14,2.6500001
2019,75 or older,43.728165,254.89999,310.29999,53,9.3000002,35,.89999998,121,50,120,10,125,83,10,84,211,200,13.5,145,75,80,20,96,29,82,78,9.8000002,11,2.7,8.6999998,98,24,11,13,4.0999999
